1, Темні води / Dark Waters (2019), біографічний/драма/історичний,США,Participant/Willi Hill/Killer Content,Тодд Гейнс,magnet:?xt=urn:btih:32bbe3d024f081cc1928d8dd2ee12878cfd315de&dn=Dark+Waters+(2019)+%5B2xUkr%2CEng%5D+BDRip-AVC+%5BHurtom%5D.mkv&tr=http%3A%2F%2Fbt.hurtom.com%2Fannounce%2F%3Fh%3DgxRQFyp8rb%26&tr=http%3A%2F%2Fbt.toloka.to%2Fannounce%2F%3Fh%3DgxRQFyp8rb%26&tr=http%3A%2F%2Fbt.toloka.tv%2Fannounce%2F%3Fh%3DgxRQFyp8rb%26
2, Наполеон / Napoleon (2023), біографічний/військовий/драма/історичний,США/Велика Британія,Columbia Pictures/Apple Studios,Рідлі Скотт,magnet:?xt=urn:btih:a21041cdfd21076522bd07325d19f564a6021a1f&dn=Napoleon+(2023)+WEB-DL+1080p+%5BUkr.Eng%5D+%5Bsub+Ukr.Eng%5D+%5BHurtom%5D.mkv&tr=http%3A%2F%2Fbt.hurtom.com%2Fannounce%2F%3Fh%3DgxRQFyp8rb%26&tr=http%3A%2F%2Fbt.toloka.to%2Fannounce%2F%3Fh%3DgxRQFyp8rb%26&tr=http%3A%2F%2Fbt.toloka.tv%2Fannounce%2F%3Fh%3DgxRQFyp8rb%26
